,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
FH10R,-0.015933034131670843,0.06776683951727815,-0.07977110854410721,0.010971892982269766,-0.14131318146126948,-0.07670034322491968,0.034534833124092064,0.16170429739284964,0.03930622258873003,-0.041689927332547,0.038738282873875096,-0.06989324135622109,0.0336734800463017,0.09963783908664253,0.009713327158516409,-0.08371725324932132,0.038767747244541746,0.038119869043096534,0.053510025645025064,0.004964093603223657,0.014068784163046735,-0.07264151570145702,-0.11656024766978954,0.054765960678473787,-0.01642955183475265,-0.02501959686921807,-0.021882394474333426,0.0006963751565800764,0.01898083792630014,-0.00784464218553252,-0.060217299016077364,0.007001448411453494,-0.1221604793990711,0.05276884802171636,-0.09222288878634813,-0.16391214393642298,0.015162791793993626,0.037163974989230596
FH11L,-0.022063517745396975,0.09775224308433235,0.012319300469504095,0.047488970821338565,-0.017584616790647385,0.004850856498741928,0.031274853524913396,0.15613528199773336,0.1600989537472082,0.05876035303130277,-0.05445266917765517,0.026017957971708187,-0.1356847385473667,0.03474181910063944,0.12011316357515972,0.03561488553976698,0.025813142088464885,-5.853083160258543e-05,0.0402181781351664,-0.02458990491182905,-0.019197422514809815,-0.1319176401463836,-0.019891864622131803,-0.08494015421360662,0.02246324502271552,-0.029751330573328617,0.05790802159900337,0.001193338214694333,-0.031598278058892544,-0.11739867895442102,-0.026757117280191787,-0.06982246206870382,0.10492015479764008,0.03197051584563308,0.0619928463782145,0.09259579037397038,0.05610112579502046,0.04652271569449973
FH11R,-0.02177973303196831,0.09112329978124975,0.009700592669349627,0.05897583359496628,-0.04417732577683574,-0.028406021084040056,0.0036656274726055743,0.17327524583666407,0.18112290781132298,0.10005921358863969,-0.06488908516802719,0.035190439484094144,-0.10254547095875709,0.008728575041174481,0.050892755770792705,0.012589378474792055,0.035989555964719575,0.03074858023734605,0.030048182745971787,-0.06447426882212184,-0.0008231280491695661,-0.09384920609161881,-0.043217566423553753,-0.059601856489255096,-0.05079360729758142,-0.06295335230473503,-0.03148253508849066,-0.048256084966904804,-0.02534411548715672,-0.029060197092816157,0.012318211063765459,-0.06799381716372298,0.08397447702163094,0.07084300088721239,-0.008382005670605604,0.07063602014883964,-0.038353281717070344,-0.02224078693061218
FH12L,-0.0902624169944381,0.03310442867466113,-0.053270807495553824,-0.013236514800460848,-0.013681359741845723,0.03545128125686989,0.010889484609870615,0.13332808527261544,-0.09664362231791444,-0.03023108803228047,0.10592018892714312,0.09299685880810604,-0.09680488152203505,0.0010128809593023353,-0.04815030091992143,-0.07992794887680002,-0.06940787501532776,0.006136386700995467,0.021523761143499305,0.0031494309577681933,-0.07222285725152178,-0.09509834097501255,-0.08012853613754341,0.1180449304260115,-0.1376790542099724,0.04731573958640604,-0.12646768818528115,0.027643928323715223,0.07774779287076287,0.03426149774181024,0.06872014221399171,0.01445594320303605,-0.02333141221886843,-0.036898847887021184,-0.09237503439198146,0.009448733886755952,-0.005052894218701232,-0.053081344595913196
FH12R,-0.08688842069549442,0.03635015903662864,-0.044625285071250534,-0.008264183543252762,-0.026546210493081302,0.02818584835361054,0.01836876525392368,0.11812987632362647,-0.09905208743683391,-0.012506538042989152,0.09278743014792508,0.10806217941825934,-0.1132464101007675,0.0028374631032037217,-0.01938339705136107,-0.07893859039379734,-0.03785999091172053,0.00018439703916883234,-0.0014830738865376344,0.02429117908182112,-0.04205645710065285,-0.12520306155650865,-0.08847216406840536,0.14030754502770224,-0.14829165388066742,0.06651052437479289,-0.17335927265854323,0.014990727385813482,0.05451934966698079,0.05820477683188368,0.05158258727159695,0.034959081239445335,-0.061807329666880385,-0.02473828117740412,-0.0911425874835271,-0.011104520091201917,-0.029528301072101734,-0.03333837968936405
FH13L,-0.08756143916269707,0.055807683452257034,-0.010481144454206157,-0.026585919390938136,0.02739987403163676,-0.0240033841493503,0.03451741394762856,0.10619194693567795,0.027814563805648514,-0.18395545554632148,-0.0193350809249557,0.04626349233454602,-0.09816513518652632,0.055994881200901084,-0.00752518895609279,-0.00916536275383331,-0.036131809240711917,0.008897210191510675,0.13353371647660908,0.00492891298697003,-0.05231214728945903,0.026633992006079073,-0.017403928934962596,0.007610868251994298,-0.07070881140948812,0.053656284354790605,-0.02390373523910885,0.008345392059088543,-0.15594789795781583,0.0672308905192099,-0.11974516309069602,0.02449583644803473,-0.05482466810133202,-0.04227964912073394,0.16477410556093114,0.05093539650225511,-0.08457963942912584,-0.02111696671841905
FH13R,-0.08746317309138513,0.02810433656727667,-0.005223866826989797,-0.01463441461550228,0.04215823332086063,-0.0034316497989068813,-0.0004258473494628627,0.10795728582059379,-0.03213808678909384,-0.1603729339131223,-0.025118308357721705,0.05439434416617777,-0.09689932434387989,0.02782504684241659,-0.08207169385331621,0.020829326829604193,-0.025588538825222044,0.035291583063733076,0.11048778723208769,0.022332257510495147,-0.1011661155827223,0.03403617409541431,-0.016583657776267965,-0.020647243190361958,-0.07956475059101574,0.09674087293716203,-0.0010261632365639276,-0.03688262954776453,-0.2460491980366209,0.12457701231318681,-0.07710018768750687,-0.01332717642394537,-0.019192430875804974,-0.01335208377411739,0.17133876720464095,0.013337942477984779,-0.09170836646247583,-0.04907869792572618
FH14L,-0.0007057823564230315,0.13122505032565848,0.01038513237787521,0.016941722487472655,0.054773298725198656,-0.061015465274328905,-0.0327585945549938,-0.06531054371165064,0.10444849490347474,-0.0188994377973948,-0.060122752795345555,0.011258983352723193,0.06818558840902668,0.1302790887264656,-0.039396794984600386,-0.07550014751981346,0.0176957634358792,0.07376891835711591,-0.03608826434458413,0.009272648740774572,0.04293268321514375,0.07719736683684217,0.05525853581226725,0.006500401380216186,0.1163361017238608,-0.1359353991761685,0.078333465809218,-0.030367206114227857,-0.16105691721603885,-0.07864815120820091,0.06853335257084442,-0.03857957713418025,0.134721430901865,-0.06608096621396636,0.023936074606116967,-0.020206600677319164,0.023523733710418084,-0.09763978000334587
FH14R,0.005224440378526771,0.14153040812056203,-0.01247274625903914,0.004879031226105766,0.05623220610435682,-0.027404718137634457,-0.024413535114403043,-0.05394547638027602,0.08768246428744714,-0.006774483594276972,-0.016378017417554985,0.04144688705720575,0.08569455382101684,0.10442532343794524,-0.07824431291373522,-0.08937736970521462,0.025294426194673404,0.06611611943409983,-0.00035126458269778553,0.005022707221090686,0.08866714569120072,0.06056520428796878,0.06343316950246385,0.004617827280681896,0.12767899566692317,-0.15025784384107344,0.06217009727780689,0.0070552721221214506,-0.1399020242698648,-0.04408810027672054,0.06218279388980254,-0.019131606477736575,0.11050265459954169,-0.12603190578182083,-0.017707826344088302,0.0278405434870879,0.02909162261502771,-0.027558558634600473
FH15L,0.045642731276782526,-0.01928353140123057,-0.02569015099534875,0.03343958262277695,0.05114293680363853,0.06636963453627566,-0.04913997509670912,0.06186998437741413,-0.11913357117758097,0.09134480716645545,0.09598526589008712,-0.021992940565200073,-0.08212333797475625,-0.036504190042297956,-0.061967398304573984,0.13862134383708904,0.04867132509012802,0.2158288439978496,0.12545266152818726,0.14802174620827704,0.07503028122109473,-0.05794121554179315,-0.015521269146361108,-0.028833293089883996,0.07459050567842568,0.05434305565027825,-0.1122277451279636,-0.01301878126395922,0.007291156878183212,-0.028826304798827584,-0.045903757583647606,-0.06450767776616914,-0.026262180115851463,0.0049534666945273455,-0.12205466305071593,-0.0951500964312487,0.020314794813624717,-0.025630527852716942
FH15R,0.030366495851776,-0.030304500518371805,-0.037720235507344185,-0.015424230814683257,0.0036088362261108378,0.06553110819334275,-0.04049445642552685,0.035558029417546065,-0.09490779438899262,0.07736165757963989,0.07547389739686851,-0.04673469282420398,-0.1191984764635597,0.004861138302603977,0.0160928911717809,0.16792502452581148,0.043708488389910684,0.12497819663105755,0.1466535709986649,0.21106171780316577,0.07052572743027997,-0.14276030822753605,-0.06349421887000208,-0.08795399925047631,0.1308892914219476,0.05859002958911954,-0.040510137699888385,-0.0017443658887453483,-0.07201106961771502,-0.14595902524936027,-0.018825520667183834,-0.025909677131908976,-0.02263679521154893,0.024680802996527695,-0.04615411656722399,-0.16625972250929613,0.054215974969094916,0.06077802810575302
FH16L,-0.03799288242442817,0.01802100798141386,-0.0038312454581482854,-0.023214557847143876,0.044087631697461625,-0.03432178360172773,-0.007546795317568138,0.22267771658949642,-0.07887919376537718,-0.002409944136404833,0.05736607908082043,0.04597506547528363,0.10612891110544205,-0.017048748667879837,0.05975417169855114,-0.16004855300655438,-0.16333478417169822,-0.04472235492751296,0.023417753848205644,0.012662969698226906,0.04939683186800374,0.07333051255117201,0.07261412866896753,-0.004940070224200137,-0.03204544964858775,0.1901221864856378,0.06926815996699158,-0.002695115352788222,0.007564618308165662,-0.0652435950986427,-0.05418783060888134,0.07412886927675387,0.06299358370366989,0.057933872342281645,-0.028918761610213384,-0.08418117426052027,0.07281864566855777,0.08238609544480087
FH16R,-0.022311973594430993,0.01591056144967533,0.017890138710762053,-0.020223307182361074,0.0505647594153019,-0.05720893250869835,0.019781492915666027,0.2423154546593885,-0.023494609311718272,0.014331535561566213,0.008258331136387166,-0.007658171593871576,0.10600934433629329,0.012078601268090124,0.08213943116575856,-0.2052400574123972,-0.13186355687357082,-0.057855699484648006,-0.0026393524427218724,-0.07568824389351511,0.042445358198954244,0.07268848945586444,0.036932865927232106,-0.028197841076956515,-0.038788943508779115,0.12482726026043357,0.06868264026157228,0.027851520430009095,-0.011253247292138037,0.04931156899777051,-0.06574078507392785,0.05102162333805038,0.03803029445653033,0.03945224853440017,-0.05611659939391023,-0.06924383281748145,-0.04182680591287203,0.053468946949041814
FH17L,-0.08990047068424988,-0.002535675654883551,0.03542655281183111,-0.009501411704516039,0.0038857586817027416,-0.01632337624379169,0.0829897666703423,0.09468712388945325,0.14137477988882324,-0.032932027020152244,0.04581553599915839,-0.03899460038895445,0.06285230294180061,0.014762348803159176,-0.01765591414081833,-0.02667966617431245,-0.06717983715377328,-0.03722239604307623,0.06107441084705629,0.016638662444805764,-0.08557299990960997,-0.017121902410304833,-0.013767477653965052,0.2013412780542719,0.21236736432847644,-0.039321665582946475,0.09596599816978355,0.10811395052972145,-0.05704608098261542,0.0022129022049357135,-0.002455294897489665,0.017110978630281312,-0.011335222390773513,-0.14294048327647324,0.1511248842287128,-0.04359322555264453,0.03599649219518863,-0.009171398272419529
FH17R,-0.06502246297631793,0.02403794374700698,0.030410587533210375,-0.014867178914864684,0.044383441451573254,0.007721543848601698,0.05272688118276249,0.09558863724896607,0.14505888343455017,-0.027777942511052464,0.09228343327089195,-0.030604220319730077,0.07447246554736976,0.028013458925589742,0.06113442884511435,-0.08274714763779742,-0.04857782728491975,0.03855759252811597,0.06082852464141038,-0.03165904319503596,0.08865850236558925,-0.07495272821552826,-0.10000075962025977,0.07051319527426216,0.16229043064270912,-0.04838804842510819,-0.015263561909069308,0.25245065057451216,-0.08517509765086574,-0.05563243805533673,0.028715320780226834,0.18278482952162822,-0.07548252325104779,-0.12777994640313095,0.03888416109651998,0.018847355118014015,-0.08509449556057262,-0.034157635387928015
FH18L,-0.011587987065340756,0.08592420493321266,0.01125539834526706,-0.0688085176501355,-0.08807308828522634,-0.07434295565392923,-0.04957325633615009,-0.040508024867343374,-0.05559046774629579,0.07373066786874294,-0.0521196697346386,-0.0037394296260090123,-0.048317994040574935,-0.06931094211742124,-0.0038648891206322657,-0.1668163222958705,0.027644062687598683,-0.12027734605476813,-0.10620025280477828,-0.07483140014670145,0.019497028531860302,-0.08332276851020363,-0.08412894598023289,-0.03193438607929016,-0.1010571368619666,-0.11755109819101603,-0.06388479948946618,-0.05627022645999342,-0.09429084489509387,0.031364032807238096,0.0019362327884213319,0.1012849447199989,0.16912771530274973,0.019568994675461804,-0.047294036599175915,-0.121729584379226,-0.007537084494561645,0.033498182035863355
